ID	RA	DEC	zspec	zq	id	IC	dIC	zb	zbmin	zbmax
163	101.1125791667	70.2024536111	0.717	4	34532	20.924	0.038	0.716	0.688	0.750
164	101.2549208333	70.1847838889	0.532	2	31284	21.067	0.046	0.634	0.587	0.685
167	101.6874208333	70.2306825000	0.595	4	38837	19.775	0.045	0.524	0.466	0.551
168	101.3853750000	70.2029725000	0.51	2	34054	21.303	0.061	0.522	0.458	0.554
172	101.5454500000	70.2332686111	0.595	4	39675	19.618	0.038	0.595	0.558	0.631
173	101.2828458333	70.2882613889	0.493	2	48702	20.371	0.041	0.537	0.478	0.564
174	101.1913291667	70.2408066667	0.452	4	40568	19.903	0.042	0.452	0.043	0.494
175	101.3918625000	70.2746352778	0.599	2	46376	20.176	0.044	0.575	0.549	0.600
176	101.0584166667	70.2483366667	0.528	4	42041	20.507	0.042	0.632	0.519	0.666
177	101.2180583333	70.2746430556	0.593	4	46824	19.984	0.034	0.644	0.601	0.677
178	101.7615875000	70.2391966667			39575	25.084	0.523	3.377	0.251	3.667
179	101.3125000000	70.2621841667			43802	21.267	0.108	0.729	0.642	0.753
180	101.0774500000	70.2613677778			43932	20.700	0.053	0.442	0.216	0.515
181	101.9161541667	70.2416533333	-0.002	-1	40385	19.854	0.057	0.544	0.426	0.589
183	101.1372750000	70.3365936111	0.595	2	56491	20.980	0.070	0.639	0.585	0.704
184	101.1338583333	70.3013383333			50872	20.435	0.043	0.474	0.410	0.522
185	101.6571166667	70.2658538889	0.661	3	44688	20.242	0.042	0.592	0.556	0.618
187	101.3013750000	70.3033066667		-1	52286	17.313	0.038	0.591	0.549	0.634
190	101.6696750000	70.2564925000	0.760	3	42932	20.665	0.051	0.722	0.693	0.747
191	101.2413750000	70.4138183333			74249	20.733	0.054	0.675	0.609	0.713
193	101.4992083333	70.3341902778	0.516	3	56026	20.074	0.045	0.547	0.517	0.571
194	101.5788583333	70.3053361111			51743	19.564	0.030	0.548	0.521	0.573
196	101.4028583333	70.3485336111			59049	20.704	0.030	0.686	0.658	0.710
202	101.4212458333	70.3674088889			61783	21.203	0.059	0.539	0.451	0.570
203	101.3262541667	70.4624022222	0.634	4	83119	20.677	0.055	0.655	0.583	0.699
204	101.3085291667	70.4082108333			74839	20.916	0.051	0.522	0.448	0.564
205	101.4668166667	70.3969269444	0.500	4	66766	20.619	0.041	0.462	0.417	0.524
207	101.2778500000	70.4564741667			69931	20.757	0.059	0.622	0.571	0.676
208	101.6221208333	70.3099900000			52561	20.881	0.043	0.664	0.620	0.692
213	101.5645250000	70.4889908333			78781	20.663	0.037	0.575	0.539	0.618
214	101.5197291667	70.4164505556	0.504	3	73291	19.850	0.042	0.502	0.451	0.540
215	101.7072333333	70.3505477778	0.667	3	58837	20.685	0.054	0.692	0.609	0.717
216	101.5028083333	70.4421386111			69196	20.542	0.051	0.460	0.379	0.497
219	101.6922125000	70.3392791667			57430	19.752	0.030	0.521	0.471	0.543
220	101.6166250000	70.3808669444			63858	21.023	0.107	0.722	0.663	0.838
223	101.8143000000	70.2708283333			45140	20.980	0.067	0.526	0.500	0.553
224	101.5891875000	70.4841919444	0.566	3	79521	19.412	0.032	0.587	0.563	0.612
225	101.6994958333	70.4841080556			79619	21.050	0.053	0.449	0.379	0.501
227	101.7971125000	70.2688447222			44633	24.297	0.200	1.637	0.816	2.340
228	101.5948666667	70.5457536111			75386	21.245	0.056	0.704	0.664	0.739
229	101.7284333333	70.3573683333	0.678	4	59956	20.275	0.050	0.682	0.649	0.712
231	102.0012750000	70.5488358333	0.425	4	75093	20.910	0.053	0.576	0.318	0.670
232	101.8463875000	70.3881911111	0.587	4	65292	20.245	0.045	0.631	0.545	0.669
233	101.9804541667	70.5561827778			74836	20.196	0.048	0.601	0.552	0.651
235	101.8818125000	70.3893433333			65166	21.240	0.062	0.659	0.599	0.702
236	101.8617875000	70.5109786111	0.513	4	77191	20.532	0.062	0.527	0.479	0.559
237	101.9276125000	70.5279311111			76515	20.988	0.061	0.541	0.439	0.596
238	101.8932000000	70.4751816667			80494	21.197	0.067	0.619	0.557	0.666
241	102.0578958333	70.4427186111			70406	20.537	0.039	0.585	0.545	0.638
242	101.8866333333	70.3095702778	0.079	4	58241	15.906	0.009	0.064	0.043	0.083
243	102.1573958333	70.5298233333	0.592	2	77452	20.627	0.045	0.580	0.552	0.608
244	101.9717875000	70.4126358333			75105	21.017	0.055	0.575	0.510	0.627
247	102.1320333333	70.5349502778			75776	20.386	0.047	0.683	0.603	0.712
248	102.0655250000	70.5203247222			76892	20.461	0.045	0.601	0.560	0.648
250	101.8846041667	70.2760466667			46611	21.029	0.042	0.501	0.453	0.537
251	101.9433333333	70.2703019444	0.923	2	44873	23.069	0.239	0.707	0.361	0.894
254	102.2316375000	70.4855041667			77313	20.874	0.072	0.668	0.600	0.701
255	101.8957958333	70.2608488889	0.790	2	43541	21.511	0.059	0.730	0.694	0.765
256	102.2951666667	70.5076675000			77662	21.292	0.077	0.576	0.535	0.618
257	101.9584833333	70.2986297222			49762	24.052	0.270	1.080	0.420	3.653
258	102.2992166667	70.4971772222	0.430	3	79277	20.332	0.040	0.501	0.408	0.523
259	101.9454875000	70.3131486111
